x,y,z
-0.350335,0.110253,1.130582
-0.350329,0.112253,1.130581
-0.350627,0.114254,1.131533
-0.350318,0.116253,1.130578
-0.350616,0.118254,1.131530
-0.351216,0.120257,1.133435
-0.353634,0.122269,1.141058
-0.355143,0.124276,1.145821
-0.355138,0.126276,1.145820
-0.355435,0.128278,1.146772
-0.355430,0.130278,1.146770
-0.350880,0.132256,1.132474
-0.350571,0.134254,1.131520
-0.350869,0.136256,1.132471
-0.350863,0.138256,1.132470
-0.350555,0.140254,1.131516
-0.350852,0.142256,1.132467
-0.350847,0.144256,1.132466
-0.350841,0.146256,1.132465
-0.350836,0.148256,1.132463
-0.350830,0.150256,1.132462
-0.350825,0.152256,1.132461
-0.351122,0.154257,1.133412
-0.350803,0.160256,1.132455
-0.350797,0.162256,1.132454
-0.350786,0.166256,1.132451
-0.348440,0.106248,1.131191
-0.348434,0.108248,1.131190
-0.348732,0.110250,1.132141
-0.348726,0.112250,1.132140
-0.348721,0.114250,1.132139
-0.348715,0.116250,1.132137
-0.348710,0.118250,1.132136
-0.349007,0.120251,1.133088
-0.351728,0.122264,1.141663
-0.352934,0.124270,1.145474
-0.353232,0.126272,1.146426
-0.353226,0.128271,1.146425
-0.353524,0.130273,1.147376
-0.348974,0.132251,1.133080
-0.348968,0.134251,1.133078
-0.348963,0.136251,1.133077
-0.348957,0.138251,1.133076
-0.348952,0.140251,1.133075
-0.348946,0.142251,1.133073
-0.348941,0.144251,1.133072
-0.348935,0.146251,1.133070
-0.349233,0.148252,1.134022
-0.349227,0.150252,1.134021
-0.349222,0.152252,1.134020
-0.349519,0.154254,1.134971
-0.349205,0.158252,1.134016
-0.349503,0.160254,1.134967
-0.338288,0.162200,1.099705
-0.349491,0.164254,1.134965
-0.349486,0.166254,1.134963
-0.346534,0.106243,1.131797
-0.346528,0.108243,1.131796
-0.346523,0.110243,1.131794
-0.346517,0.112243,1.131793
-0.346512,0.114243,1.131792
-0.346809,0.116245,1.132743
-0.346804,0.118245,1.132742
-0.347101,0.120246,1.133694
-0.349822,0.122259,1.142269
-0.351331,0.124267,1.147033
-0.351629,0.126268,1.147985
-0.351623,0.128268,1.147983
-0.351618,0.130268,1.147982
-0.347371,0.132248,1.134639
-0.346759,0.134245,1.132731
-0.346754,0.136245,1.132730
-0.346748,0.138245,1.132729
-0.346743,0.140245,1.132727
-0.346737,0.142245,1.132726
-0.347035,0.144246,1.133678
-0.346726,0.146245,1.132723
-0.347630,0.148249,1.135581
-0.347619,0.152249,1.135579
-0.347613,0.154249,1.135577
-0.344628,0.106238,1.132403
-0.344925,0.108240,1.133354
-0.344920,0.110240,1.133353
-0.344914,0.112240,1.133352
-0.344909,0.114240,1.133350
-0.344903,0.116240,1.133349
-0.344898,0.118240,1.133348
-0.345498,0.120243,1.135252
-0.349425,0.124262,1.147639
-0.349420,0.126262,1.147638
-0.349717,0.128263,1.148589
-0.349712,0.130263,1.148588
-0.345162,0.132241,1.134292
-0.345156,0.134241,1.134290
-0.344848,0.136240,1.133336
-0.345145,0.138241,1.134288
-0.345140,0.140241,1.134286
-0.345134,0.142241,1.134285
-0.345129,0.144241,1.134284
-0.345123,0.146241,1.134282
-0.345718,0.150244,1.136186
-0.345707,0.154244,1.136183
-0.346004,0.156246,1.137135
-0.345999,0.158246,1.137133
-0.345993,0.160246,1.137132
-0.342722,0.106233,1.133009
-0.343019,0.108235,1.133960
-0.343014,0.110235,1.133959
-0.343008,0.112235,1.133958
-0.343003,0.114235,1.133956
-0.342997,0.116235,1.133955
-0.342992,0.118235,1.133954
-0.343289,0.120236,1.134905
-0.346010,0.122250,1.143481
-0.347519,0.124257,1.148245
-0.347514,0.126257,1.148244
-0.347811,0.128258,1.149195
-0.348109,0.130260,1.150147
-0.343256,0.132236,1.134897
-0.343250,0.134236,1.134896
-0.342942,0.136235,1.133942
-0.342936,0.138235,1.133940
-0.343234,0.140236,1.134892
-0.343228,0.142236,1.134891
-0.343223,0.144236,1.134889
-0.343217,0.146236,1.134888
-0.343812,0.150239,1.136792
-0.343807,0.152239,1.136790
-0.344104,0.154241,1.137742
-0.343796,0.156239,1.136788
-0.344087,0.160241,1.137738
-0.344082,0.162241,1.137737
-0.341119,0.106230,1.134567
-0.341113,0.108230,1.134566
-0.341108,0.110230,1.134565
-0.341102,0.112230,1.134564
-0.341097,0.114230,1.134562
-0.341091,0.116230,1.134561
-0.341086,0.118230,1.134560
-0.341383,0.120232,1.135511
-0.344104,0.122245,1.144087
-0.345613,0.124252,1.148851
-0.345608,0.126252,1.148849
-0.345602,0.128252,1.148848
-0.345900,0.130254,1.149800
-0.341350,0.132232,1.135503
-0.341344,0.134232,1.135502
-0.341339,0.136232,1.135501
-0.341333,0.138232,1.135499
-0.341328,0.140232,1.135498
-0.341322,0.142232,1.135497
-0.341317,0.144232,1.135495
-0.341311,0.146232,1.135494
