x,y,z
-0.24697,-0.07547,1.0622
-0.24697,-0.07347,1.0632
-0.24697,-0.07147,1.0632
-0.24697,-0.06947,1.0627
-0.24697,-0.06747,1.0622
-0.24697,-0.06547,1.0617
-0.24697,-0.06347,1.0607
-0.24697,-0.06147,1.0592
-0.24697,-0.05947,1.0402
-0.24697,-0.05747,1.0372
-0.24697,-0.05547,1.0357
-0.24697,-0.05347,1.0347
-0.24697,-0.05147,1.0332
-0.24697,-0.04947,1.0337
-0.24697,-0.04747,1.0337
-0.24697,-0.04547,1.0337
-0.24697,-0.04347,1.0352
-0.24697,-0.04147,1.0362
-0.24697,-0.03947,1.0377
-0.24697,-0.03747,1.0407
-0.24697,-0.03547,1.0467
-0.24697,-0.03347,1.0532
-0.24697,-0.03147,1.0562
-0.24697,-0.02947,1.0567
-0.24697,-0.02747,1.0572
-0.24697,-0.02547,1.0572
-0.24697,-0.02347,1.0572
-0.24697,-0.02147,1.0572
-0.24697,-0.01947,1.0567
-0.24697,-0.01747,1.0562
-0.24697,-0.01547,1.0552
-0.24697,-0.01347,1.0547
-0.24697,-0.01147,1.0547
-0.24697,-0.00947,1.0552
-0.24697,-0.00747,1.0572
-0.24697,-0.00547,1.0602
-0.24697,-0.00347,1.0662
-0.24697,-0.00147,1.0717
-0.24697,0.00053,1.0772
-0.24697,0.00253,1.0792
-0.24697,0.00453,1.0802
-0.24697,0.00653,1.0797
-0.24697,0.00853,1.0797
-0.24697,0.01053,1.0792
-0.24697,0.01253,1.0787
-0.24697,0.01453,1.0777
-0.24697,0.01653,1.0772
-0.24697,0.01853,1.0767
-0.24697,0.02053,1.0762
-0.24697,0.02253,1.0752
-0.24697,0.02453,1.0747
-0.24697,0.02653,1.0742
-0.24697,0.02853,1.0732
-0.24697,0.03053,1.0727
-0.24697,0.03253,1.0722
-0.24697,0.03453,1.0707
-0.24697,0.03653,1.0692
-0.24697,0.03853,1.0657
-0.24697,0.04053,1.0642
-0.24697,0.04253,1.0612
-0.24697,0.04453,1.0597
